date,wind_direction,wind_speed,visibility,temp,temp_d,humidity,temp_e,temp_es,pressure,pressure_o
15:00 21.03.2017,З,2,20000,+15.0,-4.9,25,+15,+16,1021.6,1001.6
18:00 21.03.2021,штиль,0,20000,+10.9,-6.0,30,+11,+11,1022.3,1002.0
12:00 21.03.2015,З,3,20000,+15.1,-4.2,26,+15,+21,1022.9,1002.9
12:00 19.03.2020,СЗ,3,20000,+5.0,+1.9,80,+2,+2,1025.5,1004.7
12:00 21.03.2018,З,3,20000,+15.1,-4.2,26,+15,+21,1022.9,1002.9
21:00 21.03.2011,штиль,0,20000,+8.1,-4.7,40,+8,+8,1022.3,1001.8
18:00 21.03.2013,штиль,0,20000,+10.9,-6.0,30,+11,+11,1022.3,1002.0
12:00 21.03.2016,З,3,20000,+15.1,-4.2,26,+15,+21,1022.9,1002.9
18:00 21.03.2012,штиль,0,20000,+10.9,-6.0,30,+11,+11,1022.3,1002.0
21:00 21.03.2019,штиль,0,20000,+8.1,-4.7,40,+8,+8,1022.3,1001.8
12:00 21.03.2024,З,3,20000,+15.1,-4.2,26,+15,+21,1022.9,1002.9
18:00 21.03.2017,штиль,0,20000,+10.9,-6.0,30,+11,+11,1022.3,1002.0
18:00 20.03.2014,штиль,0,20000,+7.3,-1.9,52,+7,+7,1026.9,1006.2
15:00 19.03.2020,З,2,20000,+7.0,+0.9,65,+5,+5,1025.0,1004.4
21:00 21.03.2021,штиль,0,20000,+8.1,-4.7,40,+8,+8,1022.3,1001.8
15:00 21.03.2024,З,2,20000,+15.0,-4.9,25,+15,+16,1021.6,1001.6
00:00 22.03.2011,штиль,0,20000,+5.4,-2.7,56,+5,+5,1022.0,1001.3
18:00 19.03.2020,З,2,20000,+5.6,-0.2,66,+3,+3,1026.1,1005.3
15:00 21.03.2018,З,2,20000,+15.0,-4.9,25,+15,+16,1021.6,1001.6
21:00 21.03.2013,штиль,0,20000,+8.1,-4.7,40,+8,+8,1022.3,1001.8
15:00 21.03.2015,З,2,20000,+15.0,-4.9,25,+15,+16,1021.6,1001.6
21:00 21.03.2012,штиль,0,20000,+8.1,-4.7,40,+8,+8,1022.3,1001.8
00:00 22.03.2019,штиль,0,20000,+5.4,-2.7,56,+5,+5,1022.0,1001.3
15:00 21.03.2016,З,2,20000,+15.0,-4.9,25,+15,+16,1021.6,1001.6
21:00 19.03.2020,З,2,20000,+4.2,-2.2,63,+2,+2,1026.8,1005.9
21:00 21.03.2017,штиль,0,20000,+8.1,-4.7,40,+8,+8,1022.3,1001.8
03:00 22.03.2011,штиль,0,20000,+4.1,-3.2,59,+4,+4,1021.8,1001.0
